Lagerkürzel;Auftragsnummer;LS-Nr.;geprüft j/n;Lieferdatum;Bearbeiter;Kundennummer;Kundenkürzel;L.-Name 1;L.-Straße;L.-PLZ;L.-Ort;;;;
VST Schörling;108231;LS72155;ja;14.01.2026;Logistik;25603;sdp energie GmbH;sdp energie Projekte GmbH;Starnberger Straße 30;82069;Hohenschäftlarn;;;;
VST Schörling;108234;LS72158;ja;14.01.2026;Logistik;25393;Zeeh Design GmbH;Zeeh Design GmbH;Boschstraße 16;82178;Puchheim;;;;
VST Schörling;108235;LS72159;ja;01.01.2026;Logistik;25393;Zeeh Design GmbH;Zeeh Design GmbH;Benzstraße 9;82178;Puchheim;;;;
Brengartner Trinkwass;108236;LS72160;ja;22.01.2026;Logistik;25366;Markgräfler Gymnasium;Markgräfler Gymnasium;Bismarckstraße 10;79379;Müllheim;;;;
VST Schörling;108237;LS72161;ja;19.01.2026;Logistik;21767;Motius;Motius GmbH;Walter-Gropius-Str. 17;80807;München;;;;
Planegg;108250;LS72174;ja;18.03.2026;Logistik;25746;ResMed;ResMed GmbH & Co.KG;Mahatma-Ghandi-Platz 3;81219;München;;;;
Planegg;108251;LS72175;ja;18.03.2026;Logistik;25746;ResMed;ResMed GmbH & Co.KG;Mahatma-Ghandi-Platz 3;81219;München;;;;
Planegg;108252;LS72176;ja;18.03.2026;Logistik;25746;ResMed;ResMed GmbH & Co.KG;Mahatma-Ghandi-Platz 3;81219;München;;;;
Planegg;108253;LS72177;ja;18.03.2026;Logistik;25746;ResMed;ResMed GmbH & Co.KG;Mahatma-Ghandi-Platz 3;81219;München;;;;
VST Schörling;108261;LS72185;ja;20.02.2026;Logistik;26005;TU München - Ottobrunn;Technische Universität München;Einsteinstraße 28;85521;Ottobrunn;;;;
VST Schörling;108270;LS72194;ja;13.01.2026;Logistik;26048;MUNIQ Design;MUNIQ Design GmbH;Detmoldstraße 4;80935;München;;;;
VST Schörling;108323;LS72247;ja;19.01.2026;Logistik;26553;ARGE Ingenieurbau U5 Los 1;ARGE Ingenieurbau U5 Los1;Willibaldstr. 70;80689;München;;;;
Ines Rütz Appen;108336;LS72260;ja;20.01.2026;Logistik;23861;BGW Hamburg;BGW Berufsgenossenschaft;Schäferkampsallee 24;20357;Hamburg;;;;
Planegg;108343;LS72268;ja;08.01.2026;Logistik;23872;Ara 8;Goodfruit;Boschstr. 5 / 2.OG;82178;Puchheim;;;;
Schöttle - Haiterbach;108344;LS72269;ja;02.02.2026;Logistik;24223;ELEKTRA Tailfingen;ELEKTRA Tailfingen Schaltgeräte GmbH & Co. KG;Brunnenstraße 48;72461;Albstadt;;;;
Schöttle - Haiterbach;108345;LS72270;ja;02.02.2026;Logistik;24223;ELEKTRA Tailfingen;ELEKTRA Tailfingen Schaltgeräte GmbH & Co. KG;Brunnenstraße 48;72461;Albstadt;;;;
Schöttle - Haiterbach;108346;LS72271;ja;02.02.2026;Logistik;24223;ELEKTRA Tailfingen;ELEKTRA Tailfingen Schaltgeräte GmbH & Co. KG;Brunnenstraße 48;72461;Albstadt;;;;
Brengartner Trinkwass;108434;LS72359;nein;01.01.2026;Carmen Berger;26545;Nextbike;Nextbike GmbH;Im Ried 1;79268;Bötzingen;;;;
Ines Rütz Appen;107877;LS72372;nein;01.04.2026;Florian Gräf;26375;Edgar Fuchs;KA96 GmbH;Ludwig-Erhard-Straße 32;20459;Hamburg;;;;
Gänshirt-Aufmbruch;107877;LS72374;nein;01.04.2026;Florian Gräf;26375;Edgar Fuchs;Katzentempel Dortmund;Westenhellweg 95-101;44137;Dortmund;;;;
VST Schörling;107752;LS71671 MBU;nein;01.01.2026;Petra Gräf;23338;Le Gastro;Deutsche Post AG;Südallee;85356;München - Flughafen;;;;
VST Schörling;101472;LS72446;ja;02.03.2026;Petra Gräf;21795;GEWO Feinmechanik GmbH;GEWO Feinmechanik GmbH & Co. KG;Bahnhofstr. 45;85457;Wörth/Hörlkofen;;;;
Berlin Wein König;;LS72459;nein;01.01.2026;Petra Gräf;21352;Setting;Setting HQ GmbH;Schönhauser Allee 180;10119;Berlin;;;;
Ines Rütz Appen;109514;LS72693;nein;01.01.2026;Florian Gräf;21477;Trinkwassertechnik Brengartner;Endress + Hauser Deutschland GmbH+Co. KG;Am Stadtrand 54;22047;Hamburg;;;;
VST Schörling;109516;LS72695;ja;08.01.2026;Florian Gräf;21477;Trinkwassertechnik Brengartner;Endress + Hauser Deutschland GmbH+Co. KG;Clarita-Bernhard-Straße 25;81249;München;;;;
VST Schörling;109542;LS72716;ja;11.03.2026;Petra Gräf;26629;SKD SE;SKD SE;Otto-Hahn-Straße 7;82216;Maisach;;;;
VST Schörling;109614;LS72776;ja;27.01.2026;Petra Gräf;26974;Autohaus Stanglmair (2) Murnau;Autohaus Stanglmair GmbH & Co.Betr. KG;Straßäcker 10;82418;Murnau;;;;
